clip_ID,Names,Hashes,TC_start,TC_end,Path,total_duration_hours
30165,"40 Tonal Space Drone, Short",2:bbb5072f08e416a6a0fb1ca7fc3141bf,00:00:00:00:100/1,00:00:07:74:100/1,"['SOUND ARCHIV/Larger Than Life/Ltl-4/40 Tonal Space Drone, Short.aif', 'ALLGEMEINES/SOUND ARCHIV/Larger Than Life/Ltl-4/40 Tonal Space Drone, Short.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Larger Than Life/Ltl-4/40 Tonal Space Drone, Short.aif']",
30423,76VoiceDroneStrongVoic,2:0d02f14aa8aa1681afa9caab6ff52445,00:00:00:00:100/1,00:00:40:67:100/1,"['SOUND ARCHIV/Drone Archeology/76VoiceDroneStrongVoic.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/76VoiceDroneStrongVoic.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/76VoiceDroneStrongVoic.aif']",
32305,21ShrtDramaDrone3V,2:405fbd862478c28ca04e9178f4a0ae26,00:00:00:00:100/1,00:00:31:18:100/1,"['SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8006/21ShrtDramaDrone3V.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8006/21ShrtDramaDrone3V.aif', 'ALLGEMEINES/SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8006/21ShrtDramaDrone3V.aif']",
32900,70IndustryDronesOutboardMot,2:c59ef8321a20e992fe712e2835f7001e,00:00:00:00:100/1,00:00:36:50:100/1,"['SOUND ARCHIV/Drone Archeology/70IndustryDronesOutboardMot.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/70IndustryDronesOutboardMot.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/70IndustryDronesOutboardMot.aif']",
32956,EQU013_HQ_DOTGW_2m2 V2 Drones,2:bb565c73f2c69f2a4cc270abc71fce7f,00:00:00:00:100/1,00:00:56:80:100/1,"['MUSIK/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 DOTGW Stems/EQU013_HQ_DOTGW_2m2 V2 Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/LOOKS MUSIK FUER SCHNITTPLAETZE WAV/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 DOTGW Stems/EQU013_HQ_DOTGW_2m2 V2 Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/LOOKS MUSIK FUER SCHNITTPLAETZE WAV/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 10-30-14-00 DOTGW_/2m2 V2 DOTGW Stems/EQU013_2m2 V2 DOTGW Drones.wav', 'MUSIK/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 10-30-14-00 DOTGW_/2m2 V2 DOTGW Stems/EQU013_2m2 V2 DOTGW Drones.wav', 'ALLGEMEINES/LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 DOTGW Stems/EQU013_HQ_DOTGW_2m2 V2 Drones.wav', 'ALLGEMEINES/LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 10-30-14-00 DOTGW_/2m2 V2 DOTGW Stems/EQU013_2m2 V2 DOTGW Drones.wav', 'S2F_Hist_Trash/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 10-30-14-00 DOTGW_/2m2 V2 DOTGW Stems/EQU013_2m2 V2 DOTGW Drones.wav', 'S2F_Hist_Trash/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 DOTGW Stems/EQU013_HQ_DOTGW_2m2 V2 Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 10-30-14-00 DOTGW_/2m2 V2 DOTGW Stems/EQU013_2m2 V2 DOTGW Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU013_HQ_2m2 V2 10-30-14-00/2m2 V2 DOTGW Stems/EQU013_HQ_DOTGW_2m2 V2 Drones.wav']",
33257,74VoiceDroneStrongVoiceAh-,2:d0e0bc22e92b043dcc668eb295a89ce0,00:00:00:00:100/1,00:00:40:67:100/1,"['SOUND ARCHIV/Drone Archeology/74VoiceDroneStrongVoiceAh-', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/74VoiceDroneStrongVoiceAh-', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/74VoiceDroneStrongVoiceAh-', 'SOUND ARCHIV/ohne Lizenz/Drone Archeology/74VoiceDroneStrongVoiceAh-']",
34101,72IndustryDronesSubmarineEn,2:7bb208eba7b46046c2ad3b9fb568ae6f,00:00:00:00:100/1,00:00:36:82:100/1,"['SOUND ARCHIV/Drone Archeology/72IndustryDronesSubmarineEn.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/72IndustryDronesSubmarineEn.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/72IndustryDronesSubmarineEn.aif']",
34421,15 Eerie Pulsing Drone,2:4ece755600a9ac8e0d7d36afc81559bf,00:00:00:00:100/1,00:01:33:63:100/1,"['SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8001SciFi/15 Eerie Pulsing Drone.aif', 'ALLGEMEINES/SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8001SciFi/15 Eerie Pulsing Drone.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8001SciFi/15 Eerie Pulsing Drone.aif']",
34611,75VoiceDroneStrongVoice-Ee-,2:c3ff79d8b6f7ed74543d79e6f9e32828,00:00:00:00:100/1,00:00:40:67:100/1,"['SOUND ARCHIV/Drone Archeology/75VoiceDroneStrongVoice-Ee-', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/75VoiceDroneStrongVoice-Ee-', 'SOUND ARCHIV/ohne Lizenz/Drone Archeology/75VoiceDroneStrongVoice-Ee-', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/75VoiceDroneStrongVoice-Ee-']",
35003,73IndustryDronePouringLiqui,2:4f8a5177d2948385cea80267b7c92953,00:00:00:00:100/1,00:00:37:82:100/1,"['SOUND ARCHIV/Drone Archeology/73IndustryDronePouringLiqui.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/73IndustryDronePouringLiqui.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/73IndustryDronePouringLiqui.aif']",
