clip_id,display_name,hash,timecode_start,timecode_end,userpath
92,KT8152_1.WA01.58E758E746DEA; KT8152_2.WA02.58E758E746DEA; KT8152_3.WA03.58E758E746DEA; KT8152_7.WA07.58E758E746DEA; KT8152_8.WA08.58E758E746DEA;    D406  /t 1   ,2:1fde00654e9323cbdf4c3d4e5d9d2cc6; 2:542ffc876098e6c655528049dc7c18b5; 2:f8fbb05a6d6e654fc31849f4cad0693f; 2:9a1a272cd47506e95a4b2ea42642b985; 2:77225815fa87631766cff3f7503a9bf8,00:00:00:00:100/1,00:02:10:64:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8152_1.WA01.58E758E746DEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8152_2.WA02.58E758E746DEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8152_3.WA03.58E758E746DEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8152_7.WA07.58E758E746DEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8152_8.WA08.58E758E746DEA.mxf
93,KT8153_1.WA01.58E758E746E1A; KT8153_2.WA02.58E758E746E1A; KT8153_3.WA03.58E758E746E1A; KT8153_7.WA07.58E758E746E1A; KT8153_8.WA08.58E758E746E1A;    D406  /t 2   ,2:259ca972360243e73761fa54e1627a3f; 2:ff1790c9c628f0a12bee00feb7771065; 2:832f1ec73ac7e98adc6542a1550f9bb7; 2:3b0cf767d4ddd57995170bc40360df47; 2:c8f5a0ee2a35d58736cb85984e732047,00:00:00:00:100/1,00:00:42:08:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8153_1.WA01.58E758E746E1A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8153_2.WA02.58E758E746E1A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8153_3.WA03.58E758E746E1A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8153_7.WA07.58E758E746E1A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8153_8.WA08.58E758E746E1A.mxf
94,KT8154_1.WA01.58E758E746E2A; KT8154_2.WA02.58E758E746E2A; KT8154_3.WA03.58E758E746E2A; KT8154_7.WA07.58E758E746E2A; KT8154_8.WA08.58E758E746E2A;    D406  /t 3   ,2:bd9868c3dfc80469dec930700475ab5c; 2:673e6cee4c6430c1b6aeceae5693506a; 2:f2429ce17b36ac7cfc729a94b452c59a; 2:594a585e7d4ab92a07689605cc898f4c; 2:7b70fc96ed406cac6c25d9fe72b21a6c,00:00:00:00:100/1,00:00:56:00:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8154_1.WA01.58E758E746E2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8154_2.WA02.58E758E746E2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8154_3.WA03.58E758E746E2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8154_7.WA07.58E758E746E2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8154_8.WA08.58E758E746E2A.mxf
95,KT8155_1.WA01.58E758E746E3A; KT8155_2.WA02.58E758E746E3A; KT8155_3.WA03.58E758E746E3A; KT8155_7.WA07.58E758E746E3A; KT8155_8.WA08.58E758E746E3A;    D406  /t 4   ,2:a4b3d0cff652bb193956f28b558e5c6a; 2:01d7ea1a5429e4cc87688ab73ac90d94; 2:8cbd938b1ce7c872badb409ed8bb3844; 2:2f4ae8e72dd1212be16425c734e014c8; 2:186ca5113e394bd7aba809c071bd1e98,00:00:00:00:100/1,00:00:51:96:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8155_1.WA01.58E758E746E3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8155_2.WA02.58E758E746E3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8155_3.WA03.58E758E746E3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8155_7.WA07.58E758E746E3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8155_8.WA08.58E758E746E3A.mxf
96,KT8156_1.WA01.58E758E746E5A; KT8156_2.WA02.58E758E746E5A; KT8156_3.WA03.58E758E746E5A; KT8156_7.WA07.58E758E746E5A; KT8156_8.WA08.58E758E746E5A;    D406  /t 5   ,2:398a2a42ce22c8689271ffac83bb411f; 2:a0786a5053245812853e897a31443072; 2:1d8f70b92e9bff0899981b499a770dc0; 2:6fd02c6c853bcee57a1c110ac19e24f1; 2:8ca52a884dc8c68bdefba863940058f8,00:00:00:00:100/1,00:00:45:92:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8156_1.WA01.58E758E746E5A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8156_2.WA02.58E758E746E5A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8156_3.WA03.58E758E746E5A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8156_7.WA07.58E758E746E5A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8156_8.WA08.58E758E746E5A.mxf
97,KT8157_1.WA01.58E758E746E6A; KT8157_2.WA02.58E758E746E6A; KT8157_3.WA03.58E758E746E6A; KT8157_7.WA07.58E758E746E6A; KT8157_8.WA08.58E758E746E6A;    D406  /t 6   ,2:aa7d9c5a160b90738700c995bd02d7d2; 2:933c58a55621400d8feac3aa96a15d76; 2:7ea499621cdc88076e33b88fc6923cce; 2:7103273e9787671214c1c3db6b4e571c; 2:74c00da2f494f358cdbae336118f433e,00:00:00:00:100/1,00:02:03:60:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8157_1.WA01.58E758E746E6A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8157_2.WA02.58E758E746E6A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8157_3.WA03.58E758E746E6A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8157_7.WA07.58E758E746E6A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8157_8.WA08.58E758E746E6A.mxf
98,KT8158_1.WA01.58E758E746E9A; KT8158_2.WA02.58E758E746E9A; KT8158_3.WA03.58E758E746E9A; KT8158_7.WA07.58E758E746E9A; KT8158_8.WA08.58E758E746E9A;    E406  /t 1   ,2:35db24626f0191f538f6f04a409642b7; 2:d875548912a31cc28cb4354d6e3c11c4; 2:6db39c50012410c503b64aebc03f0450; 2:2eb35881fe5cec39878df5409476ff3e; 2:450056d61f33993ee8ce9502490d601d,00:00:00:00:100/1,00:01:05:88:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8158_1.WA01.58E758E746E9A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8158_2.WA02.58E758E746E9A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8158_3.WA03.58E758E746E9A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8158_7.WA07.58E758E746E9A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8158_8.WA08.58E758E746E9A.mxf
99,KT8159_1.WA01.58E758E746EAA; KT8159_2.WA02.58E758E746EAA; KT8159_3.WA03.58E758E746EAA; KT8159_7.WA07.58E758E746EAA; KT8159_8.WA08.58E758E746EAA;    D406A /t 2   ,2:52c8688857427809b696d39dc0d2ef87; 2:2a69d704909ea6d5d15d4332864e4c31; 2:f9587d599192cc9fa96463089a0f1f6b; 2:4a4ff7631770969aece9ba322eddee2b; 2:e56d0085b6bc1cabae38ea0003bcaada,00:00:00:00:100/1,00:01:12:88:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8159_1.WA01.58E758E746EAA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8159_2.WA02.58E758E746EAA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8159_3.WA03.58E758E746EAA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8159_7.WA07.58E758E746EAA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8159_8.WA08.58E758E746EAA.mxf
100,KT8160_1.WA01.58E758E746ECA; KT8160_2.WA02.58E758E746ECA; KT8160_3.WA03.58E758E746ECA; KT8160_7.WA07.58E758E746ECA; KT8160_8.WA08.58E758E746ECA;    D406A /t 3   ,2:cb472669dd282485764faaa26e74bc62; 2:a1fd0a1b2ba8a09a8a5e17095daa811c; 2:ea40f54965362626b882811ff72e2a59; 2:df18f184c4b4e8f3812b60bb52d77325; 2:c76371b906bd0998452745d53716a645,00:00:00:00:100/1,00:01:21:16:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8160_1.WA01.58E758E746ECA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8160_2.WA02.58E758E746ECA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8160_3.WA03.58E758E746ECA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8160_7.WA07.58E758E746ECA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8160_8.WA08.58E758E746ECA.mxf
101,KT8161_1.WA01.58E758E746EEA; KT8161_2.WA02.58E758E746EEA; KT8161_3.WA03.58E758E746EEA; KT8161_7.WA07.58E758E746EEA; KT8161_8.WA08.58E758E746EEA;    D406A /t 4   ,2:f50f1be4d5b31f994a24fda7c6c17003; 2:c62bfee9a84e72d69e2862053e63ac65; 2:4e167a618daf107452454cfff540a600; 2:e37a1d44d1061f6379d575824b24ce64; 2:0d013badd5a8b1faa2acf819e5884743,00:00:00:00:100/1,00:01:11:00:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8161_1.WA01.58E758E746EEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8161_2.WA02.58E758E746EEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8161_3.WA03.58E758E746EEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8161_7.WA07.58E758E746EEA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8161_8.WA08.58E758E746EEA.mxf
102,KT8162_1.WA01.58E758E746F2A; KT8162_2.WA02.58E758E746F2A; KT8162_3.WA03.58E758E746F2A; KT8162_7.WA07.58E758E746F2A; KT8162_8.WA08.58E758E746F2A;    D406A /t 5   ,2:14e1352bf3d8b112930aa05238aa0884; 2:7757f7fed2072bb36f22a4f27e86df50; 2:5771958f5076ebbdce805cec10e95d0b; 2:457ab8057a22a5098bd475ec6f3902d7; 2:4c497f4315c715813b4326e50f1f355c,00:00:00:00:100/1,00:00:42:80:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8162_1.WA01.58E758E746F2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8162_2.WA02.58E758E746F2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8162_3.WA03.58E758E746F2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8162_7.WA07.58E758E746F2A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8162_8.WA08.58E758E746F2A.mxf
103,KT8163_1.WA01.58E758E746F3A; KT8163_2.WA02.58E758E746F3A; KT8163_3.WA03.58E758E746F3A; KT8163_7.WA07.58E758E746F3A; KT8163_8.WA08.58E758E746F3A;    D406A /t 6   ,2:26561c1b54fcaaf9ac6625a5a7f924ab; 2:4f6d8614fad94082288f4f5d68f433e7; 2:61aa809277e090d4a53d9ff608cb4ae7; 2:12f177267186357968fd112dfa6ef454; 2:134c6da02108399b4ca568621f752756,00:00:00:00:100/1,00:01:00:24:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8163_1.WA01.58E758E746F3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8163_2.WA02.58E758E746F3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8163_3.WA03.58E758E746F3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8163_7.WA07.58E758E746F3A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8163_8.WA08.58E758E746F3A.mxf
104,KT8164_1.WA01.58E758E746F4A; KT8164_2.WA02.58E758E746F4A; KT8164_3.WA03.58E758E746F4A; KT8164_7.WA07.58E758E746F4A; KT8164_8.WA08.58E758E746F4A;     406  /w 1   ,2:6027ab4e4351be608daf57a273da74bd; 2:980b4cea66b453013996347d731ea27e; 2:249e3227f25eec4264d3a35e3073dcc7; 2:8b54c20797a64963ab146a17459ca242; 2:44cfd6082b8afc08c7f5cb8afd89351c,00:00:00:00:100/1,00:01:18:32:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8164_1.WA01.58E758E746F4A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8164_2.WA02.58E758E746F4A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8164_3.WA03.58E758E746F4A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8164_7.WA07.58E758E746F4A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8164_8.WA08.58E758E746F4A.mxf
105,KT8166_1.WA01.58E758E76E64A; KT8166_2.WA02.58E758E76E64A; KT8166_3.WA03.58E758E76E64A; KT8166_4.WA04.58E758E76E64A; KT8166_7.WA07.58E758E76E64A; KT8166_8.WA08.58E758E76E64A;     412  /t 1   ,2:8bf935273270d1032d000427a6eaba13; 2:7fbf7e0ecc0287cc426677f57b7a5ad9; 2:ff4768ddbf8d6c87e554d01c16133f78; 2:5c22273d5822a06b67e4f2084d234903; 2:cc25511e8ca5dcdfc7568e81d4d2207b; 2:e668e8fc767319c8e0c23441c32d1e9f,00:00:00:00:100/1,00:02:07:04:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8166_1.WA01.58E758E76E64A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8166_2.WA02.58E758E76E64A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8166_3.WA03.58E758E76E64A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8166_4.WA04.58E758E76E64A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8166_7.WA07.58E758E76E64A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8166_8.WA08.58E758E76E64A.mxf
106,KT8165_1.WA01.58E758E76E63A; KT8165_2.WA02.58E758E76E63A; KT8165_3.WA03.58E758E76E63A; KT8165_4.WA04.58E758E76E63A; KT8165_7.WA07.58E758E76E64A; KT8165_8.WA08.58E758E76E64A;     412  /n 1   ,2:7492578f66b853e3654bfb85cfbe4e07; 2:078d51bddbce4d8d7de484700de7104a; 2:b316d3ad71feae7cb366866a2e000150; 2:68a89b3db5d97e24a0ddfdd441912eac; 2:df7f3010d011a7649596314f00dc16cb; 2:c7660b402bba822a8eeb2d77a67b0c92,00:00:00:00:100/1,00:00:09:08:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8165_1.WA01.58E758E76E63A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8165_2.WA02.58E758E76E63A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8165_3.WA03.58E758E76E63A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8165_4.WA04.58E758E76E63A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8165_7.WA07.58E758E76E64A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8165_8.WA08.58E758E76E64A.mxf
107,KT8167_1.WA01.58E758E76E66A; KT8167_2.WA02.58E758E76E66A; KT8167_3.WA03.58E758E76E67A; KT8167_4.WA04.58E758E76E67A; KT8167_7.WA07.58E758E76E67A; KT8167_8.WA08.58E758E76E67A;     412  /t 2   ,2:3ca5ce6de87a78e9c0e0363461c27630; 2:dc8316086a9e4385c6dbfeb57ea16bff; 2:813758c913337aeb50aeb76b13cb1984; 2:745358bee4a736378e6af21a6ab51b1e; 2:6096eb2260b0852a85e8d88b9462edf0; 2:fc24e405e79438e77923095fab9ab056,00:00:00:00:100/1,00:00:45:00:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8167_1.WA01.58E758E76E66A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8167_2.WA02.58E758E76E66A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8167_3.WA03.58E758E76E67A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8167_4.WA04.58E758E76E67A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8167_7.WA07.58E758E76E67A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8167_8.WA08.58E758E76E67A.mxf
108,KT8168_1.WA01.58E758E76E68A; KT8168_2.WA02.58E758E76E68A; KT8168_3.WA03.58E758E76E68A; KT8168_4.WA04.58E758E76E68A; KT8168_7.WA07.58E758E76E68A; KT8168_8.WA08.58E758E76E68A;     412  /t 3   ,2:9ea9845eff930e9b810a1d4905321d00; 2:f11baaa9907b62565003c4f16eb9bafc; 2:5305a726ebb2d7b55cfd15ee49efcf91; 2:491b25fdf7f588ffd74600cf34891052; 2:1c4b4378692e0f2750711e4716c8f1a4; 2:de9cbbcb4281aae17b15ce3828fcf078,00:00:00:00:100/1,00:01:44:60:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8168_1.WA01.58E758E76E68A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8168_2.WA02.58E758E76E68A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8168_3.WA03.58E758E76E68A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8168_4.WA04.58E758E76E68A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8168_7.WA07.58E758E76E68A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8168_8.WA08.58E758E76E68A.mxf
109,KT8169_1.WA01.58E758E76E6AA; KT8169_2.WA02.58E758E76E6AA; KT8169_3.WA03.58E758E76E6AA; KT8169_4.WA04.58E758E76E6AA; KT8169_7.WA07.58E758E76E6AA; KT8169_8.WA08.58E758E76E6AA;     412  /t 4   ,2:21fd5030c636154efc73dc0d42731d79; 2:ddcbc01453f46d2d12386749ed8df0a3; 2:1e5d218ae3f21698e05e3f29cfbc4e49; 2:c90b64599f7b43f4d55e76bfb72092d2; 2:6c4e6cb308d1647c12111083c186810d; 2:303d5cd3aca59252f3aca4b0534252bd,00:00:00:00:100/1,00:01:33:32:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8169_1.WA01.58E758E76E6AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8169_2.WA02.58E758E76E6AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8169_3.WA03.58E758E76E6AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8169_4.WA04.58E758E76E6AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8169_7.WA07.58E758E76E6AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8169_8.WA08.58E758E76E6AA.mxf
110,KT8170_1.WA01.58E758E76E6BA; KT8170_2.WA02.58E758E76E6BA; KT8170_3.WA03.58E758E76E6BA; KT8170_4.WA04.58E758E76E6BA; KT8170_7.WA07.58E758E76E6BA; KT8170_8.WA08.58E758E76E6CA;     412  /t 5   ,2:a4e731cbf78138a41f4314f2a72f0e45; 2:23f7aca8c22494b69e66b9570d00ae3c; 2:8a739cc175973d05eceb4e33254714a0; 2:f3b686e4c596f5359c7505c7790e1d4e; 2:b73bc514655a7a6bf357bfe3a759d69c; 2:e7b1e68bd164690d0c8dfce46c9882e9,00:00:00:00:100/1,00:01:52:12:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8170_1.WA01.58E758E76E6BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8170_2.WA02.58E758E76E6BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8170_3.WA03.58E758E76E6BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8170_4.WA04.58E758E76E6BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8170_7.WA07.58E758E76E6BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8170_8.WA08.58E758E76E6CA.mxf
111,KT8171_1.WA01.58E758E76E6EA; KT8171_2.WA02.58E758E76E6EA; KT8171_3.WA03.58E758E76E6EA; KT8171_4.WA04.58E758E76E6EA; KT8171_7.WA07.58E758E76E6EA; KT8171_8.WA08.58E758E76E6EA;     412  /t 6   ,2:b938fe75b0c3b55ccb4b756d64edc138; 2:08c9af0a24f6e6eb5070fd25cbe1b486; 2:9003abe03c0f800637cc73510eee3fd8; 2:378bb645b5792673c8e629f593c6ae00; 2:606f2dd2067b3177da61e89ae15e06dd; 2:05f9f831767e58ac81a118cfdf7a7967,00:00:00:00:100/1,00:00:46:04:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8171_1.WA01.58E758E76E6EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8171_2.WA02.58E758E76E6EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8171_3.WA03.58E758E76E6EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8171_4.WA04.58E758E76E6EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8171_7.WA07.58E758E76E6EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8171_8.WA08.58E758E76E6EA.mxf
112,KT8172_1.WA01.58E758E76E6FA; KT8172_2.WA02.58E758E76E6FA; KT8172_3.WA03.58E758E76E6FA; KT8172_4.WA04.58E758E76E6FA; KT8172_7.WA07.58E758E76E6FA; KT8172_8.WA08.58E758E76E6FA;     412  /t 7   ,2:50ce47d7f1aa8a4a72d7b6794b84cf50; 2:975409009a6910dd0b52be70e15cc2c5; 2:2e8a8f4b504fd2de5d79cacfd68bebeb; 2:acd1d1fa98e0a5f176970172bce0e9aa; 2:c7770a3ffefa26d3b0147eb1eaecea59; 2:56d93bd0526010c65a47dc4f72db1f93,00:00:00:00:100/1,00:00:52:64:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8172_1.WA01.58E758E76E6FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8172_2.WA02.58E758E76E6FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8172_3.WA03.58E758E76E6FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8172_4.WA04.58E758E76E6FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8172_7.WA07.58E758E76E6FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8172_8.WA08.58E758E76E6FA.mxf
113,KT8175_1.WA01.58E758E76E74A; KT8175_2.WA02.58E758E76E74A; KT8175_3.WA03.58E758E76E74A; KT8175_4.WA04.58E758E76E74A; KT8175_7.WA07.58E758E76E74A; KT8175_8.WA08.58E758E76E74A;     412A /t 2   ,2:5f5f68977228ca13639195935ba12b53; 2:67023c6bcfff66992543c84107503737; 2:80737407c36606eecd36ae974000f517; 2:047fa7d712ff079b884ad5c9b651828c; 2:6981f3ed91f61089882785acb6ee2bf6; 2:7b53ed65000367dd7eac3cbac4af4142,00:00:00:00:100/1,00:01:54:16:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8175_1.WA01.58E758E76E74A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8175_2.WA02.58E758E76E74A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8175_3.WA03.58E758E76E74A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8175_4.WA04.58E758E76E74A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8175_7.WA07.58E758E76E74A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8175_8.WA08.58E758E76E74A.mxf
114,KT8174_1.WA01.58E758E76E72A; KT8174_2.WA02.58E758E76E72A; KT8174_3.WA03.58E758E76E72A; KT8174_4.WA04.58E758E76E72A; KT8174_7.WA07.58E758E76E72A; KT8174_8.WA08.58E758E76E72A;     412A /t 1   ,2:c25b9b3852bc4b3936bbec4c2c15ad03; 2:9635755cc67f355cb8b4ddcfa2cca9de; 2:d5cea5b90787b32bea54ffbe220f7e9f; 2:2bf75a8891e412ff4544a54a5e0d6622; 2:ec094a331bb957dd74b470479f57bd14; 2:c13bb9ec4b9db260008a5158f94f13f7,00:00:00:00:100/1,00:01:51:68:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8174_1.WA01.58E758E76E72A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8174_2.WA02.58E758E76E72A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8174_3.WA03.58E758E76E72A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8174_4.WA04.58E758E76E72A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8174_7.WA07.58E758E76E72A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8174_8.WA08.58E758E76E72A.mxf
115,KT8173_1.WA01.58E758E76E70A; KT8173_2.WA02.58E758E76E70A; KT8173_3.WA03.58E758E76E70A; KT8173_4.WA04.58E758E76E70A; KT8173_7.WA07.58E758E76E70A; KT8173_8.WA08.58E758E76E70A;     412  /t 8   ,2:b8e4f0695218f2ee6e9251d198b76550; 2:43ac10794ddf93e430a966c9942dc06b; 2:eca48992ac1895d0e3ac3afecdab11fe; 2:63ee01234eacb6e2bc865e3573267964; 2:81df861d6d139881a0acf7d8c0656bcc; 2:aeec56bfb5b3ad1090cdb26e63d3528f,00:00:00:00:100/1,00:01:51:68:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8173_1.WA01.58E758E76E70A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8173_2.WA02.58E758E76E70A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8173_3.WA03.58E758E76E70A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8173_4.WA04.58E758E76E70A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8173_7.WA07.58E758E76E70A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8173_8.WA08.58E758E76E70A.mxf
116,KT8176_1.WA01.58E758E76E76A; KT8176_2.WA02.58E758E76E76A; KT8176_3.WA03.58E758E76E76A; KT8176_4.WA04.58E758E76E76A; KT8176_7.WA07.58E758E76E76A; KT8176_8.WA08.58E758E76E76A;     412A /t 3   ,2:7bc5373c0e3c041d27e2f4cc03d9711a; 2:8aa3dc7babd4f076397506627bcb7f0e; 2:165174c01a39a5dc5be38e4f026ac00b; 2:3555c48df839ae2d10bee13672e700eb; 2:ddf5dcd8e48ae174ee47512d90d2872a; 2:88d4e27f4147312b135c51cb1492026f,00:00:00:00:100/1,00:00:19:28:100/1,Avid MediaFiles/MXF/AVID2.1 20170406/KT8176_1.WA01.58E758E76E76A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8176_2.WA02.58E758E76E76A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8176_3.WA03.58E758E76E76A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8176_4.WA04.58E758E76E76A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8176_7.WA07.58E758E76E76A.mxf; Avid MediaFiles/MXF/AVID2.1 20170406/KT8176_8.WA08.58E758E76E76A.mxf
