clip_id,display_name,hash,timecode_start,timecode_end,userpath
13,KT8085-5.WA05.58E758E74659A; KT8085-6.WA06.58E758E74659A; 403 / 1  /t 5   ,2:47ecdebf98fe3453b5e0c0d3fae93edd; 2:121ed8e18d0c5765daa2f063fb975ad6,00:00:00:00:100/1,00:01:37:80:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8085-5.WA05.58E758E74659A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8085-6.WA06.58E758E74659A.mxf
14,KT8085_1.WA01.58E758E7465AA; KT8085_2.WA02.58E758E7465AA; KT8085_3.WA03.58E758E7465AA; KT8085_7.WA07.58E758E7465AA; KT8085_8.WA08.58E758E7465AA; 403 / 1  /t 5   ,2:13b517ec2e0067999018e22939863135; 2:03acdf5fbadcd8e44751435f46ab6715; 2:48497b09668c20ff556232776af763d8; 2:71c4f62c7a6919688333845bb1b615eb; 2:3ebe5421859d4877e37c28859dc41f08,00:00:00:00:100/1,00:01:37:80:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8085_1.WA01.58E758E7465AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8085_2.WA02.58E758E7465AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8085_3.WA03.58E758E7465AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8085_7.WA07.58E758E7465AA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8085_8.WA08.58E758E7465AA.mxf
15,KT8086-5.WA05.58E758E7465CA; KT8086-6.WA06.58E758E7465CA; 403A/ 1  /t 1   ,2:d65b7bb5a6cd0b112ce83a96b41942ae; 2:852d9066b189fbb01a2f40f7019f8c72,00:00:00:00:100/1,00:01:25:80:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8086-5.WA05.58E758E7465CA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8086-6.WA06.58E758E7465CA.mxf
16,KT8086_1.WA01.58E758E7465DA; KT8086_2.WA02.58E758E7465DA; KT8086_7.WA07.58E758E7465DA; KT8086_8.WA08.58E758E7465DA; 403A/ 1  /t 1   ,2:1b32a7627a249ba19a6c4e6ba37567f6; 2:f7268e361dc7242e09fe0c4d11a26131; 2:66b6a44e2df31a2b5e4e9f21720ab23a; 2:b73d6e35b4a3d869fae2489b85c6b91f,00:00:00:00:100/1,00:01:25:80:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8086_1.WA01.58E758E7465DA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8086_2.WA02.58E758E7465DA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8086_7.WA07.58E758E7465DA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8086_8.WA08.58E758E7465DA.mxf
17,KT8087-5.WA05.58E758E7465EA; KT8087-6.WA06.58E758E7465EA; 403A/ 1  /t 2   ,2:6e0d216fc4236dce72a729c6dfbff8da; 2:c033763cb3fff43b48136582a8a11168,00:00:00:00:100/1,00:01:45:60:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8087-5.WA05.58E758E7465EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8087-6.WA06.58E758E7465EA.mxf
18,KT8087_1.WA01.58E758E7465FA; KT8087_2.WA02.58E758E7465FA; KT8087_7.WA07.58E758E7465FA; KT8087_8.WA08.58E758E7465FA; 403A/ 1  /t 2   ,2:096c25d0795a07089a2cca7380be92d0; 2:b9514fe95108d49134234ff80ba0e7be; 2:4d2755b7db0ab85379f98c7bce4bd818; 2:b8fc5b0f052bfaf22f783b3820e14654,00:00:00:00:100/1,00:01:45:60:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8087_1.WA01.58E758E7465FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8087_2.WA02.58E758E7465FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8087_7.WA07.58E758E7465FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8087_8.WA08.58E758E7465FA.mxf
19,KT8088-5.WA05.58E758E74661A; KT8088-6.WA06.58E758E74661A; 403B/ 1  /t 1   ,2:20fd8964320658abc520bb7a1c7a20f0; 2:dd782a61bff525e0d5cda53a9307822b,00:00:00:00:100/1,00:01:41:12:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8088-5.WA05.58E758E74661A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8088-6.WA06.58E758E74661A.mxf
20,KT8088_1.WA01.58E758E74662A; KT8088_2.WA02.58E758E74662A; KT8088_7.WA07.58E758E74662A; KT8088_8.WA08.58E758E74662A; 403B/ 1  /t 1   ,2:e5097e36e4845d8a026d80091835fb18; 2:b8f7a25fae8db081ce6588674b841b59; 2:896bd0d2942cd193539b3da58203bc63; 2:71c16f95100c0fcd1aec155255f9d6aa,00:00:00:00:100/1,00:01:41:12:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8088_1.WA01.58E758E74662A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8088_2.WA02.58E758E74662A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8088_7.WA07.58E758E74662A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8088_8.WA08.58E758E74662A.mxf
21,KT8089-5.WA05.58E758E74663A; KT8089-6.WA06.58E758E74663A; 403C/ 1  /t 1   ,2:86b8e09d83d8d80e240740b863b70b8a; 2:5d28c9407f3a3ed070bb8bdf60b8621d,00:00:00:00:100/1,00:01:34:96:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8089-5.WA05.58E758E74663A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8089-6.WA06.58E758E74663A.mxf
22,KT8090-5.WA05.58E758E74666A; KT8090-6.WA06.58E758E74666A; 403C/ 1  /t 2   ,2:bce48f529c750ae37d1227fdaab71f8d; 2:b418b2598d576446f1373c82b0a4e284,00:00:00:00:100/1,00:00:35:36:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8090-5.WA05.58E758E74666A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8090-6.WA06.58E758E74666A.mxf
23,KT8089_1.WA01.58E758E74664A; KT8089_2.WA02.58E758E74664A; KT8089_3.WA03.58E758E74664A; KT8089_7.WA07.58E758E74664A; KT8089_8.WA08.58E758E74664A; 403C/ 1  /t 1   ,2:5be24a64fba95de5919ea2411ad1052b; 2:d9269efdfba700d36b5949ee0e8b6f1f; 2:60a378fc164a981fdb266d6e1cf4a4ed; 2:e5d8e716beb903ea2cbcf761663d12a3; 2:d20c6cbdbba58bfd11b74dc591244c14,00:00:00:00:100/1,00:01:34:96:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8089_1.WA01.58E758E74664A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8089_2.WA02.58E758E74664A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8089_3.WA03.58E758E74664A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8089_7.WA07.58E758E74664A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8089_8.WA08.58E758E74664A.mxf
24,KT8090_1.WA01.58E758E74667A; KT8090_2.WA02.58E758E74667A; KT8090_3.WA03.58E758E74667A; KT8090_7.WA07.58E758E74667A; KT8090_8.WA08.58E758E74667A; 403C/ 1  /t 2   ,2:58274c062b674d6c8687b25728b89f1f; 2:6f1890914ebca2c8e17a7eb4e9ca8894; 2:f65d1ff24822ef9fa76b9813381f10df; 2:8d2259470b9fbf984601b32e75012bbe; 2:01e70b75c41e3f7a5e7fe41a6d859de1,00:00:00:00:100/1,00:00:35:36:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8090_1.WA01.58E758E74667A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8090_2.WA02.58E758E74667A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8090_3.WA03.58E758E74667A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8090_7.WA07.58E758E74667A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8090_8.WA08.58E758E74667A.mxf
25,KT8091-5.WA05.58E758E74668A; KT8091-6.WA06.58E758E74668A; 403C/ 1  /t 3   ,2:eeffc839dd2183f72a8441e2808c7e21; 2:5b92136ce6c0dcd691b5bf4030261c8e,00:00:00:00:100/1,00:01:36:12:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8091-5.WA05.58E758E74668A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8091-6.WA06.58E758E74668A.mxf
26,KT8092-5.WA05.58E758E7466BA; KT8092-6.WA06.58E758E7466BA; 403D/ 1  /t 1   ,2:8a74794c0a1edbddaf02ebe44749a2c1; 2:ef7249cb00d664079faa9bd986cc7b84,00:00:00:00:100/1,00:00:42:48:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8092-5.WA05.58E758E7466BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8092-6.WA06.58E758E7466BA.mxf
27,KT8091_1.WA01.58E758E74669A; KT8091_2.WA02.58E758E74669A; KT8091_3.WA03.58E758E74669A; KT8091_7.WA07.58E758E74669A; KT8091_8.WA08.58E758E74669A; 403C/ 1  /t 3   ,2:9f23ef987e9dc8e1ce72324502180caa; 2:ea73c176fd7de1fb8924cb7d28d61541; 2:4e86a342236df2c07410e165d71b0ce4; 2:0cdbd8183775c893e9c73230dbba54c7; 2:f8d6dbc56e2366a0d38cb717492da5bd,00:00:00:00:100/1,00:01:36:12:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8091_1.WA01.58E758E74669A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8091_2.WA02.58E758E74669A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8091_3.WA03.58E758E74669A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8091_7.WA07.58E758E74669A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8091_8.WA08.58E758E74669A.mxf
28,KT8092_1.WA01.58E758E7466BA; KT8092_2.WA02.58E758E7466BA; KT8092_3.WA03.58E758E7466BA; KT8092_7.WA07.58E758E7466BA; KT8092_8.WA08.58E758E7466BA; 403D/ 1  /t 1   ,2:5bb5f2e6d1cf3f68d80caaa92a25a903; 2:06c88c067741e584dade0ecb7340425a; 2:84989475c62b301e245b796244a5265f; 2:04f3ba73c658c110d07384cf43dd7335; 2:bda894b3a3dcb4f4e23dda199b8100ae,00:00:00:00:100/1,00:00:42:48:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8092_1.WA01.58E758E7466BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8092_2.WA02.58E758E7466BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8092_3.WA03.58E758E7466BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8092_7.WA07.58E758E7466BA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8092_8.WA08.58E758E7466BA.mxf
29,KT8093-5.WA05.58E758E7466CA; KT8093-6.WA06.58E758E7466CA; 403D/ 1  /t 2   ,2:9f269de45201025056b4c2fee0cd6778; 2:f442d8ee0c1824b6fff674780b0d034b,00:00:00:00:100/1,00:01:29:68:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8093-5.WA05.58E758E7466CA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8093-6.WA06.58E758E7466CA.mxf
30,KT8093_1.WA01.58E758E7466DA; KT8093_2.WA02.58E758E7466DA; KT8093_3.WA03.58E758E7466EA; KT8093_7.WA07.58E758E7466EA; KT8093_8.WA08.58E758E7466EA; 403D/ 1  /t 2   ,2:0bc4e0e058ba8adfb0bb413f7b811780; 2:c87b90c6de75a51bab8fbd001cf97257; 2:ba3955fc88ff11bac10cd54d57f184ac; 2:ba6bfec9cdc770b212e0f39e0bcc7ba5; 2:c4f51eb8f2e42c825c8135184bb56a4b,00:00:00:00:100/1,00:01:29:68:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8093_1.WA01.58E758E7466DA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8093_2.WA02.58E758E7466DA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8093_3.WA03.58E758E7466EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8093_7.WA07.58E758E7466EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8093_8.WA08.58E758E7466EA.mxf
31,KT8094-5.WA05.58E758E7466FA; KT8094-6.WA06.58E758E7466FA; 403D/ 1  /t 3   ,2:7823537692456b8c671decd80925cac8; 2:13e8531536bdf0a2424493c2d007def7,00:00:00:00:100/1,00:01:30:44:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8094-5.WA05.58E758E7466FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8094-6.WA06.58E758E7466FA.mxf
32,KT8094_1.WA01.58E758E74670A; KT8094_2.WA02.58E758E74670A; KT8094_3.WA03.58E758E74670A; KT8094_7.WA07.58E758E74670A; KT8094_8.WA08.58E758E74670A; 403D/ 1  /t 3   ,2:e5c7347fd5fcff6cf76e01f79c090f9a; 2:a8a3abca6b08d008bcce35e4e954b9b6; 2:82c8ca0c3b9c8d1a32154dbc9108e57f; 2:d637aa18636af60aa7666ae66aec4d55; 2:2f9304297dd250dee41b400eadbcf7a7,00:00:00:00:100/1,00:01:30:44:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8094_1.WA01.58E758E74670A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8094_2.WA02.58E758E74670A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8094_3.WA03.58E758E74670A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8094_7.WA07.58E758E74670A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8094_8.WA08.58E758E74670A.mxf
33,KT8095-5.WA05.58E758E74672A; KT8095-6.WA06.58E758E74672A; 403D/ 1  /t 4   ,2:77925771dd22f62ceac21ce4ab14bcb4; 2:0a6b701b396f9db2de5513e16f677f04,00:00:00:00:100/1,00:00:58:88:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8095-5.WA05.58E758E74672A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8095-6.WA06.58E758E74672A.mxf
